dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.005680,3.445060,0.000200,0.020000,1.000000,50.000000,4.714072
0.020000,7.005680,3.445083,0.000223,0.001156,-0.942208,-97.110407,4.713918
0.020000,7.005680,3.445129,0.000269,0.002314,0.057890,50.004918,4.713609
0.020000,7.005680,3.445199,0.000339,0.003475,0.058087,0.009853,4.713146
0.020000,7.005680,3.445292,0.000432,0.004643,0.058384,0.014823,4.712527
0.020000,7.005679,3.442116,0.003608,0.158793,7.707520,382.456795,4.711750
0.020000,7.005674,3.437459,0.008265,0.232846,3.702630,-200.244499,4.710814
0.020000,7.005662,3.432021,0.013703,0.271901,1.952749,-87.494037,4.709714
0.020000,7.005642,3.425812,0.019912,0.310466,1.928246,-1.225159,4.708450
0.020000,7.005609,3.418829,0.026895,0.349137,1.933556,0.265519,4.707016
0.020000,7.005561,3.411071,0.034652,0.387880,1.937164,0.180407,4.705408
0.020000,7.005494,3.402540,0.043184,0.426594,1.935670,-0.074724,4.703621
0.020000,7.005404,3.393234,0.052490,0.465293,1.934957,-0.035627,4.701650
0.020000,7.005284,3.383157,0.062568,0.503895,1.930119,-0.241897,4.699488
0.020000,7.005132,3.372311,0.073415,0.542343,1.922361,-0.387903,4.697131
0.020000,7.004940,3.360701,0.085026,0.580583,1.912031,-0.516497,4.694569
0.020000,7.004702,3.348316,0.097414,0.619394,1.940543,1.425574,4.691793
0.020000,7.004412,3.335171,0.110562,0.657386,1.899617,-2.046288,4.688797
0.020000,7.004061,3.321259,0.124479,0.695833,1.922323,1.135282,4.685568
0.020000,7.003642,3.306585,0.139159,0.734017,1.909220,-0.655147,4.682094
0.020000,7.003145,3.291152,0.154600,0.772040,1.901126,-0.404677,4.678365
0.020000,7.002562,3.274962,0.170800,0.809997,1.897878,-0.162432,4.674366
0.020000,7.001881,3.258020,0.187756,0.847815,1.890910,-0.348374,4.670081
0.020000,7.001092,3.240328,0.205466,0.885475,1.882958,-0.397612,4.665495
0.020000,7.000181,3.221883,0.223933,0.923356,1.894053,0.554759,4.660586
0.020000,6.999136,3.202703,0.243142,0.960453,1.854866,-1.959351,4.655337
0.020000,6.997942,3.182778,0.263103,0.998042,1.879435,1.228457,4.649720
0.020000,6.996584,3.162123,0.283802,1.034957,1.845764,-1.683566,4.643715
0.020000,6.995045,3.140742,0.305238,1.071794,1.841875,-0.194438,4.637290
0.020000,6.993306,3.118642,0.327406,1.108440,1.832290,-0.479230,4.630414
0.020000,6.991348,3.095830,0.350302,1.144771,1.816519,-0.788587,4.623052
0.020000,6.989149,3.072320,0.373915,1.180662,1.794550,-1.098433,4.615165
0.020000,6.986685,3.048110,0.398250,1.216730,1.803412,0.443114,4.606704
0.020000,6.983932,3.023225,0.423287,1.251848,1.755922,-2.374532,4.597625
0.020000,6.980861,2.997674,0.449022,1.286760,1.745575,-0.517321,4.587868
0.020000,6.977443,2.971470,0.475447,1.321285,1.726272,-0.965183,4.577369
0.020000,6.973644,2.944633,0.502552,1.355215,1.696508,-1.488193,4.566057
0.020000,6.969429,2.917189,0.530318,1.388321,1.655256,-2.062597,4.553852
0.020000,6.964758,2.889152,0.558741,1.421129,1.640404,-0.742571,4.540655
0.020000,6.959591,2.860560,0.587797,1.452806,1.583865,-2.826972,4.526364
0.020000,6.953879,2.831441,0.617470,1.483659,1.542669,-2.059781,4.510856
0.020000,6.947573,2.801838,0.647737,1.513356,1.484837,-2.891612,4.493993
0.020000,6.940617,2.771788,0.678582,1.542230,1.443712,-2.056278,4.475610
0.020000,6.932952,2.741352,0.709969,1.569348,1.355904,-4.390389,4.455526
0.020000,6.924514,2.710590,0.741867,1.594913,1.278222,-3.884069,4.433529
0.020000,6.915231,2.679572,0.774244,1.618871,1.197903,-4.015955,4.409374
0.020000,6.905031,2.648387,0.807055,1.640512,1.082067,-5.791824,4.382785
0.020000,6.893834,2.617136,0.840252,1.659853,0.967063,-5.750197,4.353442
0.020000,6.881555,2.585935,0.873782,1.676509,0.832764,-6.714935,4.320987
0.020000,6.868109,2.554921,0.907585,1.690160,0.682549,-7.510772,4.285021
0.020000,6.853484,2.524404,0.941425,1.692005,0.092269,-29.513993,4.245319
0.020000,6.837770,2.494831,0.974914,1.674446,-0.877968,-48.511843,4.201926
0.020000,6.821020,2.466479,1.007845,1.646519,-1.396342,-25.918683,4.154816
0.020000,6.803220,2.439466,1.040194,1.617491,-1.451418,-2.753831,4.103833
0.020000,6.784365,2.413909,1.071954,1.587992,-1.474931,-1.175656,4.048927
0.020000,6.764456,2.389906,1.103139,1.559263,-1.436453,1.923911,3.990194
0.020000,6.743495,2.367539,1.133793,1.532681,-1.329113,5.367016,3.927926
0.020000,6.721479,2.346865,1.163994,1.510054,-1.131339,9.888707,3.862634
0.020000,6.698403,2.327917,1.193853,1.492944,-0.855495,13.792175,3.795066
0.020000,6.674248,2.310705,1.223512,1.482970,-0.498673,17.841120,3.726171
0.020000,6.648994,2.295222,1.253135,1.481143,-0.091373,20.364986,3.657031
0.020000,6.622617,2.281452,1.282889,1.487710,0.328328,20.985068,3.588765
0.020000,6.595110,2.269374,1.312932,1.502131,0.721073,19.637238,3.522421
0.020000,6.566479,2.258965,1.343396,1.523203,1.053584,16.625525,3.458884
0.020000,6.536760,2.250198,1.374382,1.549285,1.304094,12.525505,3.398821
0.020000,6.506009,2.243039,1.405954,1.578624,1.466979,8.144248,3.342665
0.020000,6.474307,2.237446,1.438146,1.609574,1.547472,4.024667,3.290632
0.020000,6.441747,2.233365,1.470961,1.640781,1.560362,0.644486,3.242758
0.020000,6.408425,2.230732,1.504386,1.671249,1.523427,-1.846745,3.198945
0.020000,6.374442,2.229474,1.538393,1.700323,1.453661,-3.488287,3.159004
0.020000,6.339891,2.229511,1.572945,1.727583,1.363037,-4.531182,3.122693
0.020000,6.304857,2.230762,1.608001,1.752814,1.261516,-5.076073,3.089745
0.020000,6.269417,2.233142,1.643521,1.775991,1.158887,-5.131460,3.059888
0.020000,6.233636,2.236568,1.679465,1.797201,1.060457,-4.921467,3.032855
0.020000,6.197572,2.240960,1.715795,1.816531,0.966538,-4.695985,3.008397
0.020000,6.161272,2.246241,1.752478,1.834123,0.879585,-4.347637,2.986284
0.020000,6.124775,2.252336,1.789480,1.850112,0.799473,-4.005573,2.966306
0.020000,6.088112,2.259177,1.826775,1.864776,0.733170,-3.315190,2.948275
0.020000,6.051312,2.266698,1.864337,1.878071,0.664770,-3.419997,2.932024
0.020000,6.014391,2.274838,1.902144,1.890344,0.613613,-2.557827,2.917405
0.020000,5.977368,2.283541,1.940176,1.901616,0.563624,-2.499452,2.904287
0.020000,5.940254,2.292753,1.978416,1.912019,0.520157,-2.173379,2.892557
0.020000,5.903057,2.302424,2.016850,1.921669,0.482491,-1.883282,2.882113
0.020000,5.865784,2.312508,2.055463,1.930668,0.449952,-1.626969,2.872870
0.020000,5.828437,2.322959,2.094245,1.939107,0.421932,-1.400963,2.864752
0.020000,5.791017,2.333738,2.133187,1.947065,0.397905,-1.201342,2.857695
0.020000,5.753524,2.344805,2.172279,1.954613,0.377423,-1.024102,2.851643
0.020000,5.715955,2.356121,2.211515,1.961816,0.360116,-0.865374,2.846551
0.020000,5.678306,2.367652,2.250890,1.968717,0.345058,-0.752890,2.842380
0.020000,5.640574,2.379362,2.290397,1.975390,0.333677,-0.569055,2.839099
0.020000,5.602751,2.391219,2.330035,1.981893,0.325163,-0.425721,2.836684
0.020000,5.564830,2.403189,2.369800,1.988255,0.318084,-0.353937,2.835117
0.020000,5.526804,2.415240,2.409691,1.994534,0.313942,-0.207110,2.834388
0.020000,5.488662,2.427342,2.449707,2.000775,0.312040,-0.095074,2.834491
0.020000,5.450395,2.439461,2.489847,2.007021,0.312314,0.013684,2.835427
0.020000,5.411991,2.451566,2.530113,2.013318,0.314850,0.126810,2.837202
0.020000,5.373439,2.463624,2.570507,2.019703,0.319249,0.219970,2.839829
0.020000,5.334725,2.475604,2.611032,2.026248,0.327237,0.399353,2.843328
0.020000,5.295835,2.487469,2.651692,2.032976,0.336389,0.457601,2.847724
0.020000,5.256755,2.499186,2.692491,2.039941,0.348277,0.594431,2.853050
0.020000,5.217468,2.510717,2.733435,2.047208,0.363363,0.754312,2.859346
0.020000,5.177956,2.522022,2.774532,2.054861,0.382649,0.964295,2.866660
0.020000,5.138201,2.533059,2.815791,2.062928,0.403314,1.033232,2.875051
0.020000,5.098184,2.543785,2.857220,2.071493,0.428259,1.247271,2.884583
0.020000,5.057883,2.554150,2.898833,2.080642,0.457441,1.459062,2.895337
0.020000,5.017275,2.564102,2.940643,2.090461,0.490973,1.676637,2.907401
0.020000,4.976337,2.573582,2.982664,2.101070,0.530443,1.973476,2.920879
0.020000,4.935043,2.582528,3.024915,2.112578,0.575410,2.248371,2.935889
0.020000,4.893369,2.590867,3.067416,2.125045,0.623319,2.395455,2.952566
0.020000,4.851285,2.598522,3.110190,2.138702,0.682879,2.977996,2.971063
0.020000,4.808766,2.605403,3.153262,2.153603,0.745043,3.108175,2.991551
0.020000,4.765784,2.611411,3.196663,2.170028,0.821240,3.809847,3.014224
0.020000,4.722313,2.616434,3.240423,2.187994,0.898327,3.854351,3.039297
0.020000,4.678332,2.620343,3.284578,2.207737,0.987115,4.439393,3.067005
0.020000,4.633823,2.622995,3.329165,2.229376,1.081948,4.741654,3.097602
0.020000,4.588779,2.624228,3.374226,2.253057,1.184059,5.105588,3.131357
0.020000,4.543205,2.623859,3.419802,2.278761,1.285216,5.057804,3.168542
0.020000,4.497128,2.621686,3.465930,2.306432,1.383552,4.916819,3.209420
0.020000,4.450600,2.617490,3.512647,2.335821,1.469448,4.294817,3.254224
0.020000,4.403712,2.611036,3.559977,2.366499,1.533918,3.223463,3.303123
0.020000,4.356601,2.602084,3.607930,2.397689,1.559459,1.277071,3.356186
0.020000,4.309461,2.590404,3.656496,2.428290,1.530056,-1.470173,3.413337
0.020000,4.262547,2.575789,3.705634,2.456890,1.430007,-5.002443,3.474308
0.020000,4.216174,2.558087,3.755271,2.481842,1.247604,-9.120142,3.538612
0.020000,4.170708,2.537217,3.805298,2.501344,0.975119,-13.624240,3.605521
0.020000,4.126541,2.513195,3.855575,2.513880,0.626767,-17.417587,3.674106
0.020000,4.084058,2.486138,3.905942,2.518349,0.223458,-20.165452,3.743289
0.020000,4.043604,2.456263,3.956232,2.514465,-0.194209,-20.883357,3.811953
0.020000,4.005452,2.423864,4.006285,2.502660,-0.590257,-19.802395,3.879039
0.020000,3.969782,2.389280,4.055968,2.484145,-0.925740,-16.774147,3.943645
0.020000,3.936684,2.352870,4.105173,2.460277,-1.193369,-13.381453,4.005076
0.020000,3.906155,2.314974,4.153837,2.433173,-1.355213,-8.092215,4.062880
0.020000,3.878127,2.275902,4.201922,2.404255,-1.445923,-4.535474,4.116818
0.020000,3.852485,2.235922,4.249418,2.374822,-1.471652,-1.286467,4.166831
0.020000,3.829080,2.195254,4.296340,2.346092,-1.436458,1.759700,4.213004
0.020000,3.807754,2.154078,4.342711,2.318558,-1.376712,2.987278,4.255507
0.020000,3.791656,2.120032,4.380371,1.882978,-21.779007,-1020.114712,4.278023
0.020000,3.775359,2.085430,4.418619,1.912404,1.471314,1162.516030,4.266346
0.020000,3.758673,2.051066,4.456820,1.910053,-0.117590,-79.445194,4.254356
0.020000,3.741594,2.016950,4.494972,1.907633,-0.120997,-0.170340,4.242047
0.020000,3.724111,1.983092,4.533078,1.905253,-0.118979,0.100877,4.229411
0.020000,3.706221,1.949505,4.571132,1.902720,-0.126647,-0.383411,4.216442
0.020000,3.687916,1.916201,4.609135,1.900148,-0.128599,-0.097574,4.203133
0.020000,3.669188,1.883191,4.647087,1.897596,-0.127617,0.049106,4.189479
0.020000,3.650033,1.850490,4.684986,1.894953,-0.132160,-0.227189,4.175474
0.020000,3.630444,1.818109,4.722831,1.892261,-0.134582,-0.121083,4.161115
0.020000,3.610414,1.786061,4.760623,1.889598,-0.133123,0.072977,4.146398
0.020000,3.589938,1.754361,4.798361,1.886901,-0.134881,-0.087922,4.131319
0.020000,3.569012,1.723022,4.836044,1.884169,-0.136612,-0.086526,4.115877
0.020000,3.547629,1.692059,4.873673,1.881434,-0.136734,-0.006112,4.100073
0.020000,3.525786,1.661486,4.911248,1.878740,-0.134688,0.102284,4.083907
0.020000,3.503477,1.631317,4.948769,1.876051,-0.134443,0.012255,4.067381
0.020000,3.480701,1.601568,4.986236,1.873354,-0.134854,-0.020535,4.050499
0.020000,3.457453,1.572252,5.023651,1.870744,-0.130529,0.216241,4.033268
0.020000,3.433731,1.543386,5.061014,1.868172,-0.128593,0.096789,4.015695
0.020000,3.409533,1.514982,5.098328,1.865691,-0.124024,0.228442,3.997789
0.020000,3.384857,1.487056,5.135593,1.863261,-0.121515,0.125464,3.979563
0.020000,3.359704,1.459623,5.172813,1.860960,-0.115032,0.324137,3.961030
0.020000,3.334073,1.432696,5.209989,1.858800,-0.107995,0.351888,3.942206
0.020000,3.307964,1.406288,5.247124,1.856747,-0.102653,0.267100,3.923109
0.020000,3.281380,1.380414,5.284221,1.854851,-0.094836,0.390831,3.903761
0.020000,3.254323,1.355086,5.321283,1.853129,-0.086076,0.437998,3.884183
0.020000,3.226794,1.330315,5.358315,1.851613,-0.075823,0.512657,3.864400
0.020000,3.198799,1.306114,5.395321,1.850271,-0.067096,0.436362,3.844440
0.020000,3.170343,1.282494,5.432304,1.849136,-0.056716,0.518990,3.824331
0.020000,3.141429,1.259462,5.469269,1.848263,-0.043693,0.651151,3.804103
0.020000,3.112065,1.237030,5.506221,1.847601,-0.033094,0.529914,3.783787
0.020000,3.082257,1.215205,5.543165,1.847198,-0.020143,0.647583,3.763418
0.020000,3.052013,1.193993,5.580106,1.847037,-0.008047,0.604768,3.743028
0.020000,3.021341,1.173401,5.617049,1.847155,0.005927,0.698722,3.722653
0.020000,2.990251,1.153434,5.653999,1.847509,0.017659,0.586594,3.702325
0.020000,2.958751,1.134095,5.690961,1.848132,0.031142,0.674166,3.682081
0.020000,2.926852,1.115387,5.727942,1.849022,0.044513,0.668519,3.661955
0.020000,2.894564,1.097312,5.764945,1.850148,0.056318,0.590280,3.641978
0.020000,2.861899,1.079869,5.801975,1.851520,0.068609,0.614553,3.622185
0.020000,2.828868,1.063058,5.839038,1.853128,0.080370,0.588014,3.602607
0.020000,2.795484,1.046877,5.876137,1.854958,0.091523,0.557684,3.583272
0.020000,2.761758,1.031323,5.913277,1.856999,0.102038,0.525732,3.564209
0.020000,2.727703,1.016391,5.950462,1.859235,0.111794,0.487798,3.545444
0.020000,2.693331,1.002077,5.987695,1.861648,0.120656,0.443099,3.527001
0.020000,2.658656,0.988375,6.024979,1.864225,0.128835,0.408939,3.508901
0.020000,2.623690,0.975277,6.062318,1.866948,0.136179,0.367226,3.491164
0.020000,2.588445,0.962776,6.099714,1.869802,0.142683,0.325203,3.473808
0.020000,2.552935,0.950862,6.137169,1.872769,0.148352,0.283467,3.456847
0.020000,2.517172,0.939527,6.174686,1.875833,0.153204,0.242567,3.440294
0.020000,2.481168,0.928759,6.212266,1.878978,0.157263,0.202983,3.424161
