dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.021002,0.148522,0.000200,0.020000,1.000000,50.000000,0.140475
0.020000,-0.020997,0.148523,0.000205,0.000245,-0.987727,-99.386366,0.140442
0.020000,-0.020987,0.148525,0.000215,0.000490,0.012226,49.997682,0.140377
0.020000,-0.020432,0.148603,0.000776,0.028057,1.378335,68.305437,0.140279
0.020000,-0.017244,0.149053,0.003995,0.160972,6.645789,263.372717,0.140149
0.020000,-0.013259,0.149615,0.008019,0.201209,2.011804,-231.699275,0.139988
0.020000,-0.008478,0.150288,0.012848,0.241440,2.011588,-0.010787,0.139796
0.020000,-0.002899,0.151072,0.018482,0.281666,2.011301,-0.014347,0.139574
0.020000,0.003476,0.151967,0.024919,0.321885,2.010940,-0.018070,0.139323
0.020000,0.010648,0.152972,0.032161,0.362098,2.010639,-0.015052,0.139043
0.020000,0.018617,0.154086,0.040207,0.402301,2.010171,-0.023407,0.138736
0.020000,0.027382,0.155308,0.049057,0.442496,2.009711,-0.022957,0.138403
0.020000,0.036943,0.156638,0.058711,0.482680,2.009216,-0.024785,0.138046
0.020000,0.047301,0.158075,0.069168,0.522852,2.008627,-0.029421,0.137666
0.020000,0.058455,0.159618,0.080428,0.563014,2.008089,-0.026893,0.137264
0.020000,0.070405,0.161266,0.092491,0.603162,2.007370,-0.035972,0.136842
0.020000,0.083151,0.163019,0.105357,0.643296,2.006727,-0.032164,0.136403
0.020000,0.096693,0.164874,0.119026,0.683416,2.005973,-0.037710,0.135947
0.020000,0.111030,0.166832,0.133496,0.723519,2.005194,-0.038933,0.135478
0.020000,0.126163,0.168891,0.148768,0.763607,2.004356,-0.041901,0.134997
0.020000,0.142091,0.171050,0.164842,0.803676,2.003473,-0.044160,0.134507
0.020000,0.158814,0.173309,0.181716,0.843727,2.002561,-0.045579,0.134010
0.020000,0.176331,0.175666,0.199391,0.883759,2.001603,-0.047909,0.133509
0.020000,0.194643,0.178121,0.217867,0.923771,2.000587,-0.050798,0.133006
0.020000,0.213748,0.180672,0.237142,0.963762,1.999543,-0.052208,0.132504
0.020000,0.233647,0.183320,0.257217,1.003730,1.998404,-0.056917,0.132007
0.020000,0.254340,0.186062,0.278090,1.043676,1.997311,-0.054651,0.131517
0.020000,0.275826,0.188899,0.299762,1.083598,1.996078,-0.061685,0.131037
0.020000,0.298103,0.191829,0.322232,1.123495,1.994863,-0.060723,0.130571
0.020000,0.321173,0.194854,0.345499,1.163367,1.993575,-0.064391,0.130122
0.020000,0.345035,0.197971,0.369564,1.203212,1.992250,-0.066277,0.129694
0.020000,0.369687,0.201181,0.394424,1.243030,1.990903,-0.067346,0.129290
0.020000,0.395130,0.204484,0.420081,1.282819,1.989456,-0.072363,0.128914
0.020000,0.421363,0.207880,0.446532,1.322579,1.988013,-0.072145,0.128571
0.020000,0.448385,0.211369,0.473778,1.362309,1.986509,-0.075200,0.128263
0.020000,0.476195,0.214952,0.501818,1.402008,1.984953,-0.077785,0.127995
0.020000,0.504793,0.218629,0.530652,1.441675,1.983352,-0.080047,0.127771
0.020000,0.534178,0.222402,0.560278,1.481310,1.981721,-0.081577,0.127597
0.020000,0.564349,0.226270,0.590696,1.520910,1.980025,-0.084778,0.127476
0.020000,0.595306,0.230237,0.621906,1.560476,1.978287,-0.086883,0.127412
0.020000,0.627047,0.234303,0.653906,1.600006,1.976507,-0.089008,0.127411
0.020000,0.659571,0.238470,0.686696,1.639500,1.974678,-0.091480,0.127478
0.020000,0.692877,0.242741,0.720275,1.678956,1.972794,-0.094196,0.127617
0.020000,0.726965,0.247119,0.754643,1.718373,1.970874,-0.095976,0.127834
0.020000,0.761832,0.251606,0.789798,1.757751,1.968892,-0.099106,0.128134
0.020000,0.797478,0.256205,0.825739,1.797088,1.966863,-0.101470,0.128522
0.020000,0.833902,0.260921,0.862467,1.836384,1.964779,-0.104184,0.129005
0.020000,0.871102,0.265757,0.899980,1.875637,1.962677,-0.105102,0.129586
0.020000,0.909076,0.270719,0.938277,1.914846,1.960449,-0.111379,0.130273
0.020000,0.947823,0.275811,0.977357,1.954011,1.958257,-0.109602,0.131072
0.020000,0.987144,0.281012,1.017020,1.983166,1.457756,-25.025073,0.131983
0.020000,1.026642,0.286276,1.056868,1.992367,0.460007,-49.887459,0.133001
0.020000,1.066119,0.291580,1.096700,1.991598,-0.038420,-24.921342,0.134121
0.020000,1.105575,0.296928,1.136516,1.990829,-0.038474,-0.002712,0.135344
0.020000,1.145009,0.302324,1.176317,1.990058,-0.038533,-0.002918,0.136669
0.020000,1.184419,0.307773,1.216103,1.989286,-0.038595,-0.003113,0.138098
0.020000,1.223807,0.313277,1.255873,1.988513,-0.038661,-0.003297,0.139630
0.020000,1.263170,0.318842,1.295628,1.987738,-0.038730,-0.003468,0.141264
0.020000,1.302509,0.324471,1.335367,1.986962,-0.038803,-0.003626,0.143003
0.020000,1.341822,0.330168,1.375091,1.986185,-0.038878,-0.003769,0.144845
0.020000,1.381109,0.335937,1.414799,1.985406,-0.038956,-0.003896,0.146791
0.020000,1.420368,0.341783,1.454492,1.984625,-0.039036,-0.004006,0.148841
0.020000,1.459600,0.347708,1.494168,1.983843,-0.039118,-0.004099,0.150995
0.020000,1.498803,0.353718,1.533830,1.983058,-0.039202,-0.004173,0.153254
0.020000,1.537977,0.359816,1.573475,1.982273,-0.039286,-0.004226,0.155617
0.020000,1.577120,0.366006,1.613105,1.981485,-0.039371,-0.004258,0.158086
0.020000,1.616232,0.372293,1.652719,1.980696,-0.039457,-0.004267,0.160660
0.020000,1.655312,0.378679,1.692317,1.979905,-0.039542,-0.004252,0.163339
0.020000,1.694358,0.385170,1.731899,1.979113,-0.039626,-0.004213,0.166124
0.020000,1.733371,0.391769,1.771465,1.978319,-0.039709,-0.004147,0.169014
0.020000,1.772348,0.398480,1.811016,1.977523,-0.039790,-0.004053,0.172011
0.020000,1.811288,0.405307,1.850550,1.976726,-0.039868,-0.003930,0.175114
0.020000,1.850191,0.412254,1.890069,1.975927,-0.039944,-0.003777,0.178324
0.020000,1.889056,0.419325,1.929571,1.975126,-0.040016,-0.003591,0.181640
0.020000,1.927881,0.426524,1.969058,1.974325,-0.040083,-0.003373,0.185064
0.020000,1.966664,0.433855,2.008528,1.973522,-0.040146,-0.003121,0.188594
0.020000,2.005406,0.441322,2.047983,1.972718,-0.040202,-0.002832,0.192231
0.020000,2.044103,0.448929,2.087421,1.971913,-0.040253,-0.002507,0.195976
0.020000,2.082756,0.456679,2.126843,1.971107,-0.040295,-0.002143,0.199829
0.020000,2.121362,0.464577,2.166249,1.970300,-0.040330,-0.001740,0.203788
0.020000,2.159921,0.472627,2.205639,1.969493,-0.040356,-0.001295,0.207856
0.020000,2.198430,0.480832,2.245013,1.968686,-0.040372,-0.000809,0.212031
