dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.021002,-0.148522,0.000200,0.020000,1.000000,50.000000,0.140475
0.020000,0.020997,-0.148523,0.000205,0.000245,-0.987727,-99.386366,0.140442
0.020000,0.020987,-0.148525,0.000215,0.000490,0.012226,49.997682,0.140377
0.020000,0.021514,-0.148450,0.000747,0.026591,1.305070,64.642187,0.140279
0.020000,0.024663,-0.148006,0.003927,0.159027,6.621801,265.836561,0.140149
0.020000,0.028600,-0.147451,0.007903,0.198791,1.988188,-231.680656,0.139988
0.020000,0.033325,-0.146785,0.012674,0.238560,1.988437,0.012444,0.139796
0.020000,0.038837,-0.146010,0.018241,0.278334,1.988708,0.013538,0.139574
0.020000,0.045138,-0.145126,0.024603,0.318114,1.988997,0.014465,0.139323
0.020000,0.052227,-0.144133,0.031761,0.357903,1.989438,0.022048,0.139043
0.020000,0.060104,-0.143032,0.039715,0.397699,1.989806,0.018386,0.138736
0.020000,0.068770,-0.141823,0.048465,0.437504,1.990274,0.023418,0.138403
0.020000,0.078226,-0.140508,0.058012,0.477320,1.990798,0.026191,0.138046
0.020000,0.088470,-0.139086,0.068355,0.517147,1.991322,0.026179,0.137666
0.020000,0.099505,-0.137560,0.079494,0.556986,1.991986,0.033245,0.137264
0.020000,0.111330,-0.135929,0.091431,0.596838,1.992563,0.028819,0.136842
0.020000,0.123945,-0.134195,0.104165,0.636704,1.993305,0.037133,0.136403
0.020000,0.137352,-0.132358,0.117697,0.676584,1.994029,0.036183,0.135947
0.020000,0.151550,-0.130419,0.132026,0.716481,1.994819,0.039500,0.135478
0.020000,0.166539,-0.128379,0.147154,0.756394,1.995641,0.041080,0.134997
0.020000,0.182321,-0.126240,0.163081,0.796324,1.996508,0.043353,0.134507
0.020000,0.198896,-0.124001,0.179806,0.836273,1.997437,0.046449,0.134010
0.020000,0.216265,-0.121664,0.197331,0.876241,1.998409,0.048635,0.133509
0.020000,0.234427,-0.119229,0.215656,0.916229,1.999415,0.050258,0.133006
0.020000,0.253383,-0.116698,0.234780,0.956239,2.000481,0.053341,0.132504
0.020000,0.273135,-0.114070,0.254706,0.996270,2.001544,0.053145,0.132007
0.020000,0.293681,-0.111347,0.275432,1.036324,2.002742,0.059866,0.131517
0.020000,0.315024,-0.108529,0.296960,1.076402,2.003889,0.057354,0.131037
0.020000,0.337164,-0.105617,0.319290,1.116505,2.005144,0.062778,0.130571
0.020000,0.360100,-0.102610,0.342423,1.156633,2.006416,0.063605,0.130122
0.020000,0.383834,-0.099510,0.366359,1.196788,2.007741,0.066206,0.129694
0.020000,0.408366,-0.096315,0.391098,1.236971,2.009133,0.069628,0.129290
0.020000,0.433698,-0.093027,0.416642,1.277181,2.010516,0.069129,0.128914
0.020000,0.459828,-0.089644,0.442990,1.317421,2.011993,0.073851,0.128571
0.020000,0.486758,-0.086166,0.470144,1.357691,2.013499,0.075333,0.128263
0.020000,0.514489,-0.082594,0.498104,1.397992,2.015045,0.077301,0.127995
0.020000,0.543020,-0.078925,0.526870,1.438325,2.016638,0.079615,0.127771
0.020000,0.572353,-0.075160,0.556444,1.478690,2.018291,0.082688,0.127597
0.020000,0.602489,-0.071295,0.586826,1.519090,2.019974,0.084126,0.127476
0.020000,0.633426,-0.067331,0.618017,1.559524,2.021708,0.086696,0.127412
0.020000,0.665167,-0.063265,0.650016,1.599994,2.023494,0.089289,0.127411
0.020000,0.697711,-0.059095,0.682826,1.640500,2.025325,0.091583,0.127478
0.020000,0.731058,-0.054819,0.716447,1.681044,2.027199,0.093688,0.127617
0.020000,0.765210,-0.050433,0.750880,1.721627,2.029135,0.096789,0.127834
0.020000,0.800167,-0.045935,0.786125,1.762249,2.031107,0.098604,0.128134
0.020000,0.835929,-0.041321,0.822183,1.802912,2.033132,0.101256,0.128522
0.020000,0.872496,-0.036586,0.859055,1.843616,2.035205,0.103635,0.129005
0.020000,0.909869,-0.031727,0.896743,1.884363,2.037363,0.107900,0.129586
0.020000,0.948047,-0.026739,0.935246,1.925153,2.039500,0.106870,0.130273
0.020000,0.987032,-0.021616,0.974565,1.965989,2.041781,0.114024,0.131072
0.020000,1.026624,-0.016378,1.014502,1.996834,1.542235,-24.977298,0.131983
0.020000,1.066425,-0.011074,1.054655,2.007633,0.539988,-50.112356,0.133001
0.020000,1.106235,-0.005726,1.094823,2.008402,0.038418,-25.078476,0.134121
0.020000,1.146054,-0.000329,1.135006,2.009171,0.038472,0.002699,0.135344
0.020000,1.185882,0.005122,1.175205,2.009942,0.038530,0.002905,0.136669
0.020000,1.225717,0.010629,1.215419,2.010714,0.038592,0.003101,0.138098
0.020000,1.265560,0.016197,1.255649,2.011487,0.038658,0.003286,0.139630
0.020000,1.305409,0.021830,1.295894,2.012261,0.038727,0.003458,0.141264
0.020000,1.345264,0.027533,1.336155,2.013037,0.038799,0.003616,0.143003
0.020000,1.385124,0.033309,1.376431,2.013815,0.038875,0.003759,0.144845
0.020000,1.424988,0.039164,1.416723,2.014594,0.038952,0.003887,0.146791
0.020000,1.464856,0.045100,1.457031,2.015374,0.039032,0.003997,0.148841
0.020000,1.504727,0.051122,1.497354,2.016157,0.039114,0.004090,0.150995
0.020000,1.544600,0.057234,1.537693,2.016941,0.039197,0.004163,0.153254
0.020000,1.584474,0.063441,1.578047,2.017726,0.039282,0.004216,0.155617
0.020000,1.624349,0.069747,1.618418,2.018514,0.039367,0.004248,0.158086
0.020000,1.664223,0.076156,1.658804,2.019303,0.039452,0.004257,0.160660
0.020000,1.704096,0.082672,1.699205,2.020093,0.039537,0.004242,0.163339
0.020000,1.743967,0.089300,1.739623,2.020886,0.039621,0.004201,0.166124
0.020000,1.783834,0.096043,1.780057,2.021680,0.039703,0.004134,0.169014
0.020000,1.823697,0.102907,1.820506,2.022476,0.039784,0.004040,0.172011
0.020000,1.863554,0.109895,1.860972,2.023273,0.039862,0.003916,0.175114
0.020000,1.903406,0.117011,1.901453,2.024072,0.039938,0.003763,0.178324
0.020000,1.943249,0.124260,1.941951,2.024872,0.040009,0.003577,0.181640
0.020000,1.983083,0.131646,1.982464,2.025673,0.040076,0.003359,0.185064
0.020000,2.022908,0.139174,2.022994,2.026476,0.040139,0.003107,0.188594
0.020000,2.062720,0.146848,2.063539,2.027280,0.040195,0.002819,0.192231
0.020000,2.102521,0.154671,2.104101,2.028085,0.040245,0.002494,0.195976
0.020000,2.142306,0.162649,2.144679,2.028891,0.040287,0.002132,0.199829
0.020000,2.182077,0.170785,2.185273,2.029697,0.040322,0.001730,0.203788
0.020000,2.221830,0.179084,2.225883,2.030504,0.040348,0.001288,0.207856
0.020000,2.261564,0.187551,2.266509,2.031311,0.040364,0.000804,0.212031
0.020000,2.301278,0.196189,2.307151,2.032119,0.040369,0.000277,0.216314
0.020000,2.340969,0.205002,2.347810,2.032926,0.040364,-0.000293,0.220704
