dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.305680,3.445565,0.000200,0.020000,1.000000,50.000000,4.714072
0.020000,7.305680,3.445542,0.000223,0.001156,-0.942208,-97.110407,4.713918
0.020000,7.305680,3.445495,0.000269,0.002314,0.057890,50.004918,4.713609
0.020000,7.305680,3.445426,0.000339,0.003475,0.058087,0.009853,4.713146
0.020000,7.305680,3.445333,0.000432,0.004643,0.058384,0.014823,4.712527
0.020000,7.305679,3.441924,0.003841,0.170450,8.290354,411.598519,4.711750
0.020000,7.305674,3.436986,0.008778,0.246883,3.821641,-223.435651,4.710814
0.020000,7.305661,3.431218,0.014546,0.288395,2.075616,-87.301278,4.709714
0.020000,7.305640,3.424630,0.021135,0.329437,2.052072,-1.177194,4.708450
0.020000,7.305605,3.417217,0.028548,0.370648,2.060541,0.423469,4.707016
0.020000,7.305554,3.408977,0.036788,0.412000,2.067636,0.354729,4.705408
0.020000,7.305483,3.399909,0.045856,0.453396,2.069765,0.106463,4.703621
0.020000,7.305386,3.390013,0.055753,0.494860,2.073204,0.171959,4.701650
0.020000,7.305260,3.379287,0.066479,0.536315,2.072766,-0.021895,4.699488
0.020000,7.305097,3.367734,0.078034,0.577710,2.069758,-0.150429,4.697131
0.020000,7.304892,3.355356,0.090414,0.619002,2.064578,-0.258956,4.694569
0.020000,7.304638,3.342138,0.103634,0.661031,2.101482,1.845166,4.691793
0.020000,7.304328,3.328094,0.117681,0.702331,2.065005,-1.823848,4.688797
0.020000,7.303953,3.313214,0.132566,0.744276,2.097216,1.610535,4.685568
0.020000,7.303504,3.297498,0.148289,0.786116,2.092032,-0.259184,4.682094
0.020000,7.302972,3.280947,0.164848,0.827978,2.093105,0.053637,4.678365
0.020000,7.302345,3.263558,0.182248,0.869986,2.100389,0.364217,4.674366
0.020000,7.301613,3.245331,0.200490,0.912083,2.104819,0.221502,4.670081
0.020000,7.300762,3.226265,0.219575,0.954271,2.109443,0.231188,4.665495
0.020000,7.299779,3.206349,0.239515,0.996992,2.136051,1.330437,4.660586
0.020000,7.298648,3.185596,0.260299,1.039191,2.109945,-1.305337,4.655337
0.020000,7.297354,3.163989,0.281944,1.082282,2.154535,2.229530,4.649720
0.020000,7.295877,3.141537,0.304445,1.125044,2.138083,-0.822594,4.643715
0.020000,7.294200,3.118234,0.327809,1.168167,2.156138,0.902733,4.637290
0.020000,7.292299,3.094077,0.352040,1.211579,2.170604,0.723318,4.630414
0.020000,7.290152,3.069065,0.377144,1.255203,2.181230,0.531302,4.623052
0.020000,7.287732,3.043198,0.403124,1.298970,2.188326,0.354780,4.615165
0.020000,7.285012,3.016464,0.429996,1.343634,2.233229,2.245150,4.606704
0.020000,7.281959,2.988871,0.457757,1.388041,2.220358,-0.643556,4.597625
0.020000,7.278538,2.960414,0.486419,1.433111,2.253453,1.654742,4.587868
0.020000,7.274712,2.931087,0.515995,1.478761,2.282539,1.454322,4.577369
0.020000,7.270437,2.900890,0.546493,1.524895,2.306688,1.207416,4.566057
0.020000,7.265667,2.869826,0.577921,1.571407,2.325572,0.944224,4.553852
0.020000,7.260345,2.837885,0.610302,1.619075,2.383442,2.893517,4.540655
0.020000,7.254415,2.805074,0.643646,1.667167,2.404585,1.057138,4.526364
0.020000,7.247807,2.771390,0.677971,1.716275,2.455397,2.540617,4.510856
0.020000,7.240447,2.736839,0.713297,1.766303,2.501380,2.299103,4.493993
0.020000,7.232246,2.701416,0.749657,1.817979,2.583836,4.122821,4.475610
0.020000,7.223110,2.665137,0.787069,1.870601,2.631069,2.361672,4.455526
0.020000,7.212925,2.628012,0.825566,1.924850,2.712460,4.069525,4.433529
0.020000,7.201564,2.590052,0.865189,1.981190,2.817000,5.226991,4.409374
0.020000,7.188882,2.551286,0.905976,2.039345,2.907746,4.537316,4.382785
0.020000,7.174714,2.511749,0.947976,2.099980,3.031784,6.201912,4.353442
0.020000,7.158867,2.471489,0.991242,2.163311,3.166524,6.736967,4.320987
0.020000,7.141126,2.430578,1.035835,2.229625,3.315687,7.458179,4.285021
0.020000,7.121351,2.389322,1.081585,2.287496,2.893579,-21.105407,4.245319
0.020000,7.099526,2.348256,1.128090,2.325286,1.889479,-50.205016,4.201926
0.020000,7.075583,2.307740,1.175152,2.353095,1.390463,-24.950768,4.154816
0.020000,7.049362,2.267961,1.222795,2.382160,1.453249,3.139281,4.103833
